row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
What is hypertension ?,"""high blood pressure""","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. If left untreated, it can lead to serious health problems such as heart disease and stroke.","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently high. Such pressure can lead to serious health complications, including heart disease, stroke, and kidney disease.","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms, but it can lead to significant complications such as heart disease, stroke, and kidney disease.","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. This places a strain on the heart and can lead to serious health problems such as heart disease, stroke, and kidney disease if left untreated."
What is influenza ?,"""viral"", ""disease"", ""respiratory""","Influenza, commonly known as the flu, is a highly contagious viral disease that mainly affects the respiratory system. It is caused by the influenza virus and is typically spread through the air from coughs and sneezes.:","Influenza, commonly known as the flu, is a contagious viral infection that attacks the respiratory system.","Influenza, also known as the flu, is a viral infectious disease that primarily affects the nose, throat, bronchi and, occasionally, lungs. It typically causes symptoms such as high fever, aching muscles, headache, and fatigue.","Influenza, commonly known as the ""flu"", is a highly contagious viral infection of the respiratory tract. It can cause mild to severe illness, and at times can lead to death. It is characterized by symptoms such as fever, headache, muscle aches, sore throat, dry cough, and fatigue. Influenza spreads mainly through respiratory droplets when people with the flu cough, sneeze or talk."
What is leukemia ?,"""cancer"", ""blood"", ""bone marrow""","Leukemia is a type of cancer that affects the blood and bone marrow. It is characterized by the overproduction of abnormal white blood cells, which interferes with the production of normal blood cells and leads to symptoms such as fatigue, fever, frequent infections, and hemorrhages.:","Leukemia is a type of cancer that starts in blood-forming tissue, such as the bone marrow, and leads to the production of a large number of abnormal white blood cells.","Leukemia is a type of cancer that starts in blood-forming tissue, such as the bone marrow, and causes large numbers of abnormal blood cells to be produced and enter the blood.","Leukemia is a type of cancer that affects the blood and bone marrow, the spongy center of bones where our blood cells are formed. The disease develops when blood cells produced in the bone marrow grow out of control. This can prevent normal blood cells from doing their usual work like fighting off infections or preventing serious bleeding. There are several types of leukemia, which are classified based on the speed of progression and the type of blood cells affected."
What is mad cow disease ?,"""neurodegenerative "", ""cattle"", ""Bovine Spongiform Encephalopathy"" | ""BSE""","Mad Cow Disease, or Bovine Spongiform Encephalopathy (BSE), is a neurodegenerative disease that affects cattle. It is caused by prions, which are misfolded proteins that can cause other proteins to also misfold and accumulate in the brain, leading to disease.:","Mad cow disease, also known as Bovine Spongiform Encephalopathy (BSE), is a neurodegenerative disease that affects cattle, causing progressive damage to the nervous system.","Mad cow disease, formally known as Bovine Spongiform Encephalopathy (BSE), is a neurodegenerative disease that affects cattle. It's transmitted through feed that contains prion protein-contaminated by-products from infected animals. Consumption of infected meat by humans can lead to variant Creutzfeldt-Jakob disease (vCJD).","Mad cow disease, or Bovine spongiform encephalopathy (BSE), is a neurodegenerative disease found in cattle. It's caused by a type of protein known as a prion. This protein leads to damage in the nervous system, causing changes in behavior such as aggression (which is why it's called ""mad cow disease""), lack of coordination and difficulty standing. It is fatal to cows and can be transmitted to humans who eat meat from infected animals, causing a similar brain disorder known as variant Creutzfeldt-Jakob disease."
What is metabolism ?,"""chemical"", ""reactions"" | ""processes"", ""energy""","Metabolism is the set of life-sustaining chemical reactions in organisms. The three main purposes of metabolism are the conversion of food to energy to run cellular processes, the conversion of food/fuel to building blocks for proteins, lipids, nucleic acids, and some carbohydrates, and the elimination of nitrogenous wastes.","Metabolism is the chemical processes that occur within a living organism in order to maintain life, involving the breakdown of substances to produce energy, the synthesis of all compounds needed by the cells, and the elimination of waste.","Metabolism is a term for all of the biochemical reactions driven by enzymes that occur in every cell in the body. These reactions can be grouped into two types: catabolism, the breaking down of organic matter to create energy; and anabolism, the building up of cells and tissues.","Metabolism is the process by which your body converts what you eat and drink into energy. During this complex biochemical process, calories in food and beverages are combined with oxygen to release the energy your body needs to function. It includes all the chemical reactions that occur in living organisms, including digestion and the transportation of substances into and between different cells. There are two types of metabolism: anabolism (the buildup of substances) and catabolism (the breakdown of substances)."
What is mold ?,"""fungus""","Mold is a type of fungus that consists of small organisms found almost everywhere. They can be black, white, orange, green, or purple. Molds are critical to the natural environment as they break down dead plants, leaves, and trees. Yet, they can pose a health risk when they grow unabated inside homes and buildings. :","Mold is a type of fungus that grows in the form of multicellular filaments called hyphae. They can grow on various surfaces, especially ones exposed to moisture, and can have harmful effects on both health and property.","Mold is a type of fungus that consists of small organisms found almost everywhere. They can be black, white, orange, green, or purple. Molds are essential for breaking down dead material, however, they can also be problematic as they can grow in damp building materials, causing damage to property and health risks.","Mold is a type of fungus that consists of small organisms found almost everywhere. They can be black, white, orange, green, or purple. Molds thrive on moisture and reproduce by means of tiny, lightweight spores that travel through the air. You?�?re exposed to mold every day. In small amounts, mold spores are usually harmless, but when they land on a damp spot in your home, they can start to grow."
What is myopia ?,"""nearsightedness"", ""vision condition""","Myopia, also known as nearsightedness, is a common vision condition in which you can see objects near to you clearly, but objects farther away are blurry.","Myopia, also known as nearsightedness, is a common vision condition where one can see objects clearly when they're close, but objects farther away appear blurry. It occurs when the eye grows too long from front to back, causing light rays to focus in front off the retina instead of directly on it.","Myopia, also known as nearsightedness, is a common vision condition in which people can see objects clearly up close but struggle to see things farther away. This is typically due to the eyeball being slightly longer than normal, or the cornea being too curved, which prevents light from focusing directly on the retina.","Myopia, also known as nearsightedness, is a common eye condition that makes it difficult to see objects far away while objects close up can be seen clearly. It occurs when the shape of the eye causes light rays to bend (refract) incorrectly, focusing the images in front of the retina instead of directly on the retina."
What is nanotechnology ?,"""molecular"" | ""atomic"", ""manipulation"", ""technology""","Nanotechnology is a branch of technology that deals with dimensions and tolerances of less than 100 nanometers, especially the manipulation of individual atoms and molecules.:","Nanotechnology is the manipulation of matter on an atomic, molecular, and supramolecular scale.","Nanotechnology is the branch of technology that deals with dimensions and tolerances of less than 100 nanometers, especially the manipulation of individual atoms and molecules. It's the engineering of functional systems at the molecular scale.","Nanotechnology is the study and application of extremely small things and can be used across all the other science fields, such as chemistry, biology, physics, materials science, and engineering. It involves the manipulation of matter on an atomic, molecular, and supramolecular scale. The technology is used to create new and more effective materials, systems, and devices. Typical applications are in medicine, electronics, biomaterials, and energy production."
What is naproxen ?,"""anti-inflammatory"", ""pain"" | ""inflammation"", ""relieve"" | ""reduce"" | ""reducing"" | ""relieving""","Naproxen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body. Naproxen is used to treat pain or inflammation caused by conditions such as arthritis, ankylosing spondylitis, tendinitis, bursitis, gout, or menstrual cramps.","Naproxen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation from various conditions such as arthritis, menstrual cramps, tendinitis, bursitis, and more. ","Naproxen is a non-prescription, over the counter, nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain and inflammation. It is commonly used to treat conditions such as arthritis, menstrual cramps, headaches, and muscle aches.","Naproxen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve symptoms such as pain, swelling, and stiffness caused by conditions like arthritis, bursitis, gout, menstrual cramps, tendinitis, and others. It works by reducing the levels of prostaglandins, chemicals responsible for pain, fever and inflammation in the body."
What is natural gas composed of ?,"""methane""",Natural gas is primarily composed of Methane.,"Natural gas is primarily composed of methane, but it also includes other hydrocarbons such as ethane, butane, and propane.","Natural gas is primarily composed of methane, along with small amounts of other hydrocarbons such as ethane, propane, butane, and pentane.","Natural gas is primarily composed of methane, but also contains small amounts of other gases such as ethane, propane, butane, and pentane. It can also contain trace amounts of nitrogen, oxygen, carbon dioxide, sulfur compounds, and water vapor."
What is nepotism ?,"""relatives"" | ""friends"", ""power"" | ""influence""","Nepotism is the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs.","Nepotism is the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs.","Nepotism is the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs. It is often regarded as morally troubling, as it violates basic norms of fairness and meritocracy.","Nepotism is the practice among those with power or influence of favoring relatives or friends, especially by giving them jobs."
What is neurology ?,"""nervous system"", ""medicine"" | ""medical"", ""disorders"" | ""diseases""","Neurology is a branch of medicine dealing with disorders of the nervous system. It addresses diseases involving the central and peripheral nervous systems, including their coverings, blood vessels, and all effector tissues.:","Neurology is a medical specialty dealing with disorders of the nervous system. It involves the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous systems, including their coverings, blood vessels, and all effector tissues, such as muscles.","Neurology is a branch of medicine dealing with disorders of the nervous system. It deals specifically with the diagnosis and treatment of all categories of conditions and disease involving the central and peripheral nervous systems, including their coverings, blood vessels, and all effector tissue, such as muscle.","Neurology is the branch of medicine concerned with the study and treatment of disorders of the nervous system. The nervous system is a complex, sophisticated system that regulates and coordinates body activities. It includes the brain, spinal cord, peripheral nerves, and associated muscles and blood vessels. Neurologists diagnose and treat various conditions such as stroke, Alzheimer's disease, Parkinson?�?s disease, epilepsy, multiple sclerosis, and migraines."
What is neuropathy ?,"""nerve"" | ""nerves"", ""disease"" | ""damage""","Neuropathy is a term that refers to general diseases or malfunctions of the nerves. It typically involves damage or dysfunction of one or more peripheral nerves, causing symptoms such as numbness, pain, and weakness, often in the hands and feet.:",Neuropathy is a term that refers to general diseases or malfunctions of the nerves.,"Neuropathy is a term that refers to general diseases or malfunctions of the nerves. Specifically, it is a condition that results from damage to the peripheral nerves, leading to weakness, numbness, and pain, typically in the hands and feet.","Neuropathy, also known as peripheral neuropathy, is a condition that results from damage to the nerves outside of the brain and spinal cord. It often causes weakness, numbness, and pain, usually in the hands and feet. It can also affect other areas of the body. The pain is often described as a stabbing, burning, or tingling sensation. Neuropathy can result from a number of conditions including diabetes, infections, traumatic injuries, and exposure to toxins."
What is nicotine ?,"""stimulant"", ""plants""","Nicotine is a stimulant and potent parasympathomimetic alkaloid that is naturally produced in the nightshade family of plants. It is used for therapeutic purposes, and it is the substance in tobacco that is addictive to smokers.",Nicotine is a stimulant and potent parasympathomimetic alkaloid that is naturally produced in the nightshade family of plants.,Nicotine is a stimulant drug that is naturally produced in the nightshade family of plants which includes tobacco. It's very addictive and is the reason why many people find it hard to stop smoking or using tobacco products. ,"Nicotine is a highly addictive chemical compound present in the tobacco plant. It is primarily consumed by smoking cigarettes or tobacco. It is also found in smaller amounts in certain foods like tomatoes, potatoes and eggplant. Nicotine can be harmful to various systems in the body, including the cardiovascular, respiratory, and gastrointestinal systems. It is also known to have detrimental effects on reproductive health."
What is nuclear power ?,"""energy"", ""atomic"" | ""nuclear"", ""reactions"" | ""reactors""","Nuclear power is a form of energy production which involves the use of nuclear reactions to produce heat. This heat is then typically used in steam turbines to produce electricity. Nuclear power produces a large amount of energy from a small amount of fuel without the detrimental air pollution produced by burning fossil fuels. However, it produces nuclear waste, which is difficult to manage and dispose, and there are dangerous potential risks in case of accidents.:","Nuclear power is a type of power or energy that is generated using nuclear reactors. The process involves nuclear fission where the nucleus of an atom is divided, releasing a large amount of energy.",Nuclear power is a type of power or energy produced from nuclear reactions. It is created in nuclear power plants using the process of nuclear fission where the nucleus of an atom is split into two smaller parts. ,"Nuclear power is a type of energy produced from reactions that occur within a nuclear reactor. The power comes from the process of nuclear fission, where the nucleus of a heavy atom, such as uranium or plutonium, is split, releasing a large amount of energy in the form of heat and radiation. This heat is then normally used to create steam, which drives a turbine to generate electricity. Nuclear power provides a significant portion of the world's electricity and is considered a cleaner energy source because it emits no greenhouse gases during operation."
What is osteoporosis ?,"""bone"", ""loss"", ""fragility"" | ""fragile""","""Osteoporosis"" is a medical condition in which the bones become brittle and fragile from loss of tissue, typically as a result of hormonal changes, or deficiency of calcium or vitamin D.","Osteoporosis is a medical condition in which the bones become brittle and fragile from loss of tissue, typically as a result of hormonal changes, or deficiency of calcium or vitamin D.","Osteoporosis is a bone disease that reduces bone density, making them weak and more likely to break. It often progresses without any symptoms or pain and is not discovered until weakened bones cause painful fractures, often in the back or hips. It's most common in older women, but men can also develop it.","Osteoporosis is a medical condition in which the bones become brittle and fragile from loss of tissue, typically as a result of hormonal changes, or deficiency of calcium or vitamin D. This can lead to increased risk of fractures, especially in the hip, spine, and wrist."
What is ozone depletion ?,"""decrease"" | ""loss"", ""stratosphere""","Ozone depletion refers to the thinning and gradual loss of the amount of ozone in the Earth's stratosphere. This issue has been of global concern as it results in harmful ultraviolet (UV) radiation reaching the earth's surface, leading to various environmental and health problems such as skin cancer.:",Ozone depletion refers to the phenomenon where the layer of ozone gas in the earth?�?s stratosphere experiences a significant decrease. This primarily occurs due to the release of chemical compounds containing chlorine and bromine from industry and other human activities. ,"Ozone depletion refers to the decrease in the amount of ozone in the Earth's stratosphere, usually accelerate by the release of certain man-made chemicals. It has led to the creation of the ""ozone hole"" and is a major environmental concern as it increases the amount of harmful UV radiation reaching the Earth's surface.","Ozone depletion refers to the thinning and reduction of the amount of ozone in the Earth's stratosphere. The ozone layer in the atmosphere protects life on earth by absorbing the majority of the sun's harmful ultraviolet radiation. Factors contributing to ozone depletion include various man-made chemicals such as chlorofluorocarbons (CFCs), halons, carbon tetrachloride, and methyl chloroform. This phenomenon has been a major environmental concern over the past decades as it leads to increases in skin cancer and cataracts, reduces crop yields and disrupts marine ecosystems."
What is pastrami made of ?,"""beef""",Pastrami is made of cured beef.,"Pastrami is made of beef, specifically the navel end of the brisket.","Pastrami is made of beef. Traditionally, it is made from the navel end of the brisket. It is cured, smoked, and then steamed for serving.","Pastrami is made of beef, traditionally the navel end of the brisket. The meat is brined, partially dried, seasoned with herbs and spices, then smoked and steamed. It can also be made from pork, mutton or turkey."
What is pectin ?,"""fruit"" | ""fruits"" | ""plants"" | ""vegetables"", ""gel"" | ""gelling""","Pectin is a natural polysaccharide that is found in the cell walls of various fruits and vegetables. It is often used in cooking and baking as it helps to thicken, gel, and stabilize food, especially in jams and jellies.:","Pectin is a type of starch, called a heteropolysaccharide, found in the cell walls of plants. It is commonly used in food production as a gelling agent, particularly in jam and jelly making.","Pectin is a naturally occurring substance found in berries, apples, and other fruit. When heated together with sugar, it causes a thickening that is characteristic of jellies and jams. Pectin is also a type of dietary fiber and is used as a gelling agent in food.","Pectin is a type of fiber that is found in the cell walls of many fruits and vegetables. It is often used as a gelling agent in foods like jam and jelly, and is also used in fillings, medicines, sweets, as a stabilizer in fruit juices and milk drinks, and as a source of dietary fiber."
What is peyote ?,"""cactus"", ""psychoactive"", ""rituals""","""Peyote"" is a small, spineless cactus with psychoactive alkaloids, particularly mescaline. It is native to Mexico and southwestern Texas, and is often used in traditional spiritual rituals.","Peyote is a small, spineless cactus with psychoactive alkaloids, particularly mescaline. It is native to Mexico and southwestern Texas and is traditionally used by Native American people in spiritual rituals.","Peyote is a small cactus with psychoactive alkaloids, particularly mescaline, that is native to Mexico and southwestern Texas. It is most noted for its use in native American religious rituals and is also used recreationally for its psychedelic effects.","Peyote is a small, spineless cactus that is native to Mexico and southwestern Texas. It is known for its psychoactive properties when ingested, thanks to a substance called mescaline. It has been used both recreationally and as part of religious or spiritual ceremonies, particularly among Native American cultures. It is considered a controlled substance in many countries due to its hallucinogenic effects."
What is phenylalanine ?,"""amino acid"", ""protein""","Phenylalanine is an essential amino acid, which means it is one of the building blocks of proteins that the body can't manufacture on its own, so it must be obtained through diet. It is often found in foods high in protein such as meat, fish, eggs, cheese, milk, and legumes.:","Phenylalanine is an essential amino acid, a building block of proteins.","Phenylalanine is a type of amino acid, which are the building blocks of proteins. Your body needs phenylalanine and other amino acids to make proteins necessary for health.","Phenylalanine is an essential amino acid that is needed for the normal functioning of the body. It?�?s crucial for the production of proteins, certain brain chemicals and hormones. The human body cannot produce phenylalanine, so it must be obtained through diet, especially from high protein foods such as meat, fish, eggs, cheese, and milk. In some cases, inability to metabolize phenylalanine can lead to a genetic disorder called phenylketonuria (PKU)."
What is phosphorus ?,"""element"", ""P""","Phosphorus is a chemical element with the symbol P on the periodic table. It is very reactive and is not found as a free element on Earth. It's a component of DNA, RNA, ATP, and also the phospholipids that form all cell membranes.:",Phosphorus is a chemical element with the symbol P and atomic number 15. It is a nonmetal that is not found in nature as a free element because it is highly reactive.,Phosphorus is a chemical element with the symbol P and atomic number 15. It is a nonmetal that is essential for life and it occurs in nature as part of phosphate minerals.,"Phosphorus is a chemical element with the symbol P and atomic number 15. It is nonmetallic and has two main forms, white phosphorus and red phosphorus. It is an essential part of living organisms, used in fertilizers, detergents, and many other products. It is also a critical component of DNA, RNA, and ATP (adenosine triphosphate), which transports energy within cells."
What is pilates ?,"""exercise"", ""flexibility"", ""core"", ""strength"" | ""strengthen"", ""muscles""","Pilates is a form of low-impact exercise that aims to strengthen muscles while improving postural alignment and flexibility. Pilates moves tend to target the core, although the exercises work other areas of your body as well. The exercises can be performed on a mat or on specialized equipment.:",Pilates is a form of low-impact exercise that aims to strengthen muscles while improving postural alignment and flexibility.,Pilates is a physical fitness system developed in the early 20th century by Joseph Pilates. It is a form of low-impact exercise that aims to strengthen muscles while improving postural alignment and flexibility. ,"Pilates is a form of low-impact exercise that aims to strengthen muscles while improving postural alignment and flexibility. It involves a series of movements and positions that help to improve strength, flexibility and balance. Pilates places a focus on the core, including the abdomen, obliques, lower back, inner and outer thigh, butt, and so on. The exercises can be performed using your own body weight, or with the help of various pieces of equipment."
What is plastic made of ?,"""polymers"", ""petroleum"" | ""natural gas""","Plastic is primarily made of polymers, which are large molecules composed of repeated subunits of monomers, usually derived from petroleum or natural gas.","Plastic is made of polymers, which are derived from petroleum, natural gas, and plants.","Plastics are made of polymers, which are long chains of molecules made from repeating units called monomers. These monomers are often derived from crude oil or natural gas. ","Plastic is made of polymers, long chains of individual molecules called monomers. The monomers that make up plastic are largely derived from oil and natural gas.
There are many types of plastics, each made from different types of monomers that give each plastic its specific characteristics. For instance, polyethylene is made from ethylene monomers, polypropylene from propylene monomers, and polyvinyl chloride (PVC) from vinyl chloride monomers, and so on. 
These monomers are chemically bonded into chains, often with the help of heat or catalysts. Additives may also be included to give the plastic specific qualities, such as flexibility, opacity, or resistance to UV radiation."
What is pneumonia ?,"""lung"", ""infection""","Pneumonia is an infection that inflames the air sacs, or alveoli, in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty in breathing. It's caused by various organisms, including bacteria, viruses, and fungi, and can range in seriousness from mild to life-threatening.","Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus.","Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing.","Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus (purulent material) causing cough with phlegm or pus, fever, chills, and difficulty breathing. A variety of organisms, including bacteria, viruses and fungi, can cause pneumonia."
What is poliomyelitis ?,"""virus"" | ""viral"", ""infectious""","Poliomyelitis, often called polio, is a highly infectious disease caused by a virus that invades the nervous system, and can cause total paralysis in a matter of hours. It can spread from person to person through contaminated water or food or contact with an infected person.:","Poliomyelitis, also known as polio, is an infectious disease that can cause paralysis and death. It is caused by the poliovirus and primarily affects children.","Poliomyelitis, also known as polio, is a highly infectious viral disease that primarily affects young children. The virus is transmitted from person-to-person, typically through contaminated water. It can lead to paralysis by invading the nervous system and can be fatal in some cases.","Poliomyelitis, also known as polio, is a highly contagious infectious disease caused by the poliovirus. It primarily affects children under the age of 5. The virus is spread person to person, typically through contaminated water. Most people infected do not show symptoms, but for a small percentage, it can lead to paralysis, and in some cases, can be life-threatening. Both symptoms generally affect the legs. There is no cure for polio, but it can be prevented through immunization."
What is propylene glycol ?,"""liquid"", ""industries"" | ""products""","Propylene glycol is a colorless and odorless liquid which is used in many industries. Among other things, it is used as an antifreeze when leakage might lead to contact with food; as a moisturizer in medicines, cosmetics, food, toothpaste, mouth wash, and tobacco products; and as a safe, non-toxic, and non-irritating carrier for drug molecules in pharmaceuticals.:","Propylene glycol is a synthetic liquid substance that absorbs water and is used as an ingredient in a variety of products, including pharmaceuticals, cosmetics, food, and industrial applications.","Propylene glycol is a synthetic organic compound that has the chemical formula C3H8O2. It is a colorless, odorless liquid which is less toxic and has a freezing point much lower than water, hence its use in antifreeze. It is also used in food processing as a flavoring agent, as a solvent in pharmaceuticals, and in cosmetics for its moisturizing properties. ","Propylene glycol is a synthetic liquid substance that absorbs water. It is used to make polyester compounds, and as a base for deicing solutions. It is also used as a solvent in pharmaceuticals and as a moisturizer in cosmetics, toothpaste, food, and tobacco products. Its chemical formula is C3H8O2. It is generally considered safe for consumption at low levels, although large amounts can be harmful."
What is pulmonary fibrosis ?,"""lung"", ""scar"" | ""scarring"" | ""scarred"", ""tissue""","Pulmonary fibrosis is a lung disease that causes scarring in the lungs' tissues. This scarring makes it hard for your lungs to work properly, making it increasingly difficult to breathe over time.:","Pulmonary fibrosis is a lung disease that occurs when lung tissue becomes damaged and scarred, making it hard for your lungs to work effectively. The disease usually worsens over time and is often fatal.","Pulmonary fibrosis is a type of lung disease that results from the formation of scar tissue in the lung's air sacs, or alveoli. This leads to difficulty in breathing and ultimately a decrease in the amount of oxygen reaching the bloodstream. The exact cause of pulmonary fibrosis isn't always known, but it can be associated with environmental factors, radiation, medication, and certain medical conditions.","Pulmonary fibrosis is a lung disease that occurs when lung tissue becomes damaged and scarred. This thickened, stiff tissue makes it more difficult for your lungs to work properly. As pulmonary fibrosis progresses, you become progressively more short of breath. The scarring associated with pulmonary fibrosis can be caused by a multitude of factors. However, in most cases, doctors can't pinpoint what's causing the problem. When the cause can't be found, the condition is termed idiopathic pulmonary fibrosis."
What is quicksilver ?,"""mercury"", ""element""","Quicksilver is another name for the element mercury, a heavy, silvery d-block element.",Quicksilver is a common name for the chemical element mercury.,"Quicksilver is an old name for the chemical element mercury. It is a shiny, silvery liquid that is used in thermometers, barometers, and other scientific apparatuses.","Quicksilver is another name for the chemical element mercury. It is a heavy, silvery-white liquid metal that is often used in thermometers, barometers, and other scientific apparatus."
What is relative humidity ?,"""moisture"", ""air"", ""temperature""","Relative humidity is the amount of moisture in the air compared to the maximum amount of moisture the air could hold at the same temperature. Expressed as a percentage, a higher relative humidity indicates that the air is more humid, or saturated with water vapor.",Relative humidity is a measurement of the amount of water vapor present in the air compared to the maximum amount the air could hold at the same temperature. It is usually expressed as a percentage.,"Relative humidity is the amount of moisture in the air compared to the maximum amount of moisture the air could hold at the same temperature. It is expressed as a percentage, with 100% being the maximum amount of moisture the air can hold.","Relative humidity is a measure of the amount of moisture in the air compared to the maximum amount the air could hold at that temperature. It is expressed as a percentage. For example, if the air is holding half the moisture it could potentially hold at a particular temperature, the relative humidity is 50%."
What is rheumatoid arthritis ?,"""disease"" | ""disorder"", ""pain"" | ""painful"", ""joints""","Rheumatoid arthritis is a chronic, systemic inflammatory disorder that primarily affects the lining of the joints. This can cause painful swelling, leading to bone erosion and joint deformity. It's an autoimmune disorder, where the body's immune system mistakenly attacks its own tissues.:","Rheumatoid arthritis is a long-term, progressive, and disabling autoimmune disease. It causes inflammation, swelling, and pain in and around the joints and other body organs.","Rheumatoid arthritis is a chronic inflammatory disorder that typically affects the small joints in the hands and feet first. It is an autoimmune disorder, which means the immune system mistakenly attacks the body's own cells, making the lining of the joints inflamed and swollen, eventually damaging joint tissue and possibly the bone.","Rheumatoid arthritis is a chronic inflammatory disorder that primarily affects joints. It typically results in warm, swollen, and painful joints. Pain and stiffness often worsen following rest. The disorder may also cause other symptoms throughout the body. It is an autoimmune disorder, meaning the body's immune system mistakenly attacks its own tissues. The exact cause is unknown and it may begin at any age. There's no cure for rheumatoid arthritis, but physical therapy, medications and in some cases, surgery can help to ease the symptoms."
What is schizophrenia ?,"""mental"", ""disorder"", ""hallucination"" | ""delusion""","Schizophrenia is a serious mental disorder in which people interpret reality abnormally. It may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs daily functioning, and can be disabling.","Schizophrenia is a long-term mental disorder involving a breakdown in the relation between thought, emotion, and behavior leading to faulty perceptions, inappropriate actions, and feelings, withdrawal from reality into fantasy and delusion.","Schizophrenia is a severe mental disorder characterized by disturbances in thinking, emotions, and behavior. People with schizophrenia may seem as though they have lost touch with reality, which can cause significant distress for the individual, their family members, and friends.","Schizophrenia is a serious mental disorder in which people interpret reality abnormally. It may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs daily functioning, and can be disabling. The cause of schizophrenia is still unclear, but it's thought to be a combination of genetics, brain chemistry and environment. There is no cure for schizophrenia, but it can be managed with professional treatment and medication."
What is semolina ?,"""wheat"", ""pasta""","Semolina is a coarse flour made from durum wheat, a hard type of wheat. It is used to make pasta, couscous, and a variety of desserts. It has a slightly yellow color due to the high content of carotenoids in the wheat. Semolina has a higher nutritional value, with high protein and packed with vitamins and minerals.","Semolina is a coarse flour made from durum wheat, often used in pasta, bread, and cereals.","Semolina is a coarse, purified wheat middlings of durum wheat mainly used in making pasta and couscous.","Semolina is a type of flour made from durum wheat. It is often used to make pasta, bread, and cereals. This flour often has a more coarse texture than typical wheat flour, and it is high in protein and fiber. Its high gluten content makes it especially well-suited for pasta and bread making."
What is severance pay ?,"""payment"" | ""pay"" | ""compensation"", ""employer"", ""employee"", ""termination""","Severance pay is a sum of money that an employer agrees to pay an employee upon termination of employment. It is usually based on the length of employment. Not all companies provide severance pay, and it generally comes with a legally binding agreement with certain conditions.:","Severance pay is a compensation that an employer provides to an employee who has been laid off, whose job has been eliminated, who through mutual agreement has decided to leave the company, or who has parted ways with the company due to reasons other than firing for cause or performance issues.","Severance pay is the compensation that an employer provides to an employee who has been laid off, whose job has been eliminated, who through mutual agreement has decided to leave the company, or who has parted ways with the company for a variety of reasons.","Severance pay is a sum of money or other benefits that an employer provides to an employee who is being laid off or whose job is being eliminated. It's intended to ease the financial burden of unemployment while the employee is looking for another job. The amount of severance pay can depend on a variety of factors, including the employee's length of employment and the company's policies."
What is sodium chloride ?,"""salt"" | ""table salt""","Sodium chloride is the chemical name for common table salt. It's a white crystalline powder used in food for seasoning and preservation. Its chemical formula is NaCl, indicating a 1:1 ratio of sodium (Na) and chloride (Cl) ions.:",Sodium chloride is a chemical compound commonly known as table salt.,"Sodium chloride, commonly known as salt, is an ionic compound with the chemical formula NaCl. It is essential for life in general and is used in various ways, such as in cooking and food preservation. In medical use, it is often used in saline solutions.","Sodium chloride, also known as salt, is a white crystalline compound most commonly used in cooking to add flavor to food. It also has various uses in medicine and industry. Its chemical formula is NaCl, indicating that it comprises one sodium (Na) and one chloride ion (Cl). It is crucial for many bodily functions in humans and animals, including nerve conduction and maintaining fluid balance."
What is solar wind ?,"""particles"", ""sun"", ""flow"" | ""stream""","Solar wind is a continuous flow of charged particles, including protons and electrons, ejected from the sun's upper atmosphere. These particles stream out into space at high speed, creating a ""wind"" that can reach far into the solar system.:","Solar wind is a stream of charged particles that are released from the upper atmosphere of the Sun. This includes electrons, protons and alpha particles.","Solar wind is a stream of charged particles released from the upper atmosphere of the Sun, called the corona. This plasma mainly consists of electrons, protons and alpha particles with energies usually between 1.5 and 10 keV, flowing away from the sun at velocities that vary from 250 to 750 kilometers per second.","Solar wind is a stream of charged particles released from the upper atmosphere of the Sun. This flow of particles, which includes electrons and protons, is ejected from the Sun's corona and travels through space at high speeds. Solar wind can interact with the Earth's magnetic field, causing phenomena like the auroras (Northern and Southern Lights)."
